run_id,replicate,status,language,model,tooling,_cost_usd,_duration_seconds,_tokens,code_quality
1,1,completed,python,opus,none,,,,0.7888888888888889
2,1,completed,python,opus,beads,,,,0.6222222222222222
3,1,completed,python,sonnet,none,,,,0.6666666666666666
4,1,completed,python,sonnet,beads,,,,0.6222222222222222
5,1,completed,typescript,opus,none,,,,0.7333333333333334
6,1,completed,typescript,opus,beads,,,,0.7333333333333334
7,1,completed,typescript,sonnet,none,,,,0.7333333333333334
9,1,completed,go,opus,none,,,,0.888888888888889
10,1,completed,go,opus,beads,,,,0.9555555555555556
11,1,completed,go,sonnet,none,,,,0.9555555555555556
12,1,completed,go,sonnet,beads,,,,1.0
13,2,completed,python,opus,none,0.2077,45.3,105212.0,0.6222222222222222
14,3,completed,python,opus,none,0.1992,42.6,78185.0,0.9555555555555556
15,2,completed,python,opus,beads,0.4313,87.9,342199.0,0.7722222222222221
16,3,completed,python,opus,beads,0.3154,70.3,218520.0,0.6222222222222222
17,2,completed,python,sonnet,none,0.2319,79.8,352699.0,0.6222222222222222
18,3,completed,python,sonnet,none,0.2195,67.8,312082.0,0.6222222222222222
19,2,completed,python,sonnet,beads,0.2995,129.0,493328.0,0.7999999999999999
20,3,completed,python,sonnet,beads,0.2239,91.3,380179.0,0.6666666666666666
21,2,completed,typescript,opus,none,0.3113,183.8,167020.0,0.7333333333333334
22,3,completed,typescript,opus,none,0.3261,178.6,170386.0,0.7333333333333334
23,2,completed,typescript,opus,beads,0.5452,226.6,505402.0,0.7333333333333334
24,3,completed,typescript,opus,beads,0.4785,211.7,403038.0,0.7333333333333334
25,2,completed,typescript,sonnet,none,0.5314,281.1,835319.0,0.7333333333333334
27,1,completed,typescript,sonnet,beads,0.3881,144.6,688784.0,0.7333333333333334
28,2,completed,typescript,sonnet,beads,0.4293,223.3,697503.0,0.7333333333333334
29,3,completed,typescript,sonnet,beads,0.3262,135.2,526761.0,0.7333333333333334
30,2,completed,go,opus,none,0.3277,86.1,162906.0,1.0
31,3,completed,go,opus,none,0.3945,101.0,298091.0,1.0
32,2,completed,go,opus,beads,0.4318,97.0,282025.0,1.0
33,3,completed,go,opus,beads,0.5497,137.1,410406.0,1.0
34,2,completed,go,sonnet,none,0.3104,121.9,448470.0,0.9555555555555556
35,3,completed,go,sonnet,none,0.2953,124.9,422277.0,0.9555555555555556
36,2,completed,go,sonnet,beads,0.2936,128.0,408786.0,1.0
37,3,completed,go,sonnet,beads,0.3284,165.2,545124.0,1.0
38,1,completed,rust,opus,none,0.3273,115.6,139626.0,0.8333333333333334
39,2,completed,rust,opus,none,0.3181,97.5,140736.0,0.8333333333333334
40,3,completed,rust,opus,none,0.3489,105.2,171744.0,0.8333333333333334
41,1,completed,rust,opus,beads,0.5013,134.6,405949.0,0.8333333333333334
42,2,completed,rust,opus,beads,0.4481,129.9,287633.0,0.8333333333333334
43,3,completed,rust,opus,beads,0.4931,163.4,371717.0,0.8333333333333334
44,1,completed,rust,sonnet,none,0.3548,172.1,443216.0,0.8333333333333334
45,2,completed,rust,sonnet,none,0.2925,172.2,240604.0,0.8333333333333334
46,3,completed,rust,sonnet,none,0.418,238.0,501952.0,0.8333333333333334
47,1,completed,rust,sonnet,beads,0.4074,192.6,656821.0,0.8333333333333334
48,2,completed,rust,sonnet,beads,0.4207,222.6,630765.0,0.8333333333333334
50,1,completed,java,opus,none,0.41710675,142.00771016100043,182291.0,1.0
51,2,completed,java,opus,none,0.482139,145.5345465399987,290890.0,1.0
52,2,completed,java,opus,beads,0.5061599999999999,165.2863084140008,323893.0,1.0
53,1,completed,java,sonnet,none,0.38474024999999995,181.68883549800012,612173.0,1.0
54,3,completed,java,opus,none,0.41004025,105.65337103000093,178307.0,1.0
55,3,completed,java,opus,beads,0.68396675,158.42190398099956,360353.0,1.0
56,3,completed,clojure,opus,none,0.5716955,193.83475020600054,337498.0,0.8333333333333334
58,1,completed,java,opus,beads,0.467356,125.18471818599937,291090.0,1.0
59,2,completed,java,sonnet,none,0.2478477,122.94241109199902,336186.0,1.0
60,1,completed,clojure,opus,beads,0.6415197499999999,176.36413994299983,587233.0,0.8333333333333334
61,1,completed,java,sonnet,beads,0.31502639999999993,146.95023447200037,510855.0,1.0
62,1,completed,clojure,sonnet,beads,0.5175232499999999,248.23787024800004,741625.0,0.8333333333333334
63,3,completed,java,sonnet,none,0.34500539999999996,150.13709836099952,533988.0,1.0
64,2,completed,java,sonnet,beads,0.40100775,200.67881522599964,694976.0,1.0
65,1,completed,clojure,opus,none,0.5177497500000001,154.72367057299925,350599.0,0.8333333333333334
66,1,completed,clojure,sonnet,none,0.6918741,410.2342405679992,780404.0,0.8333333333333334
67,3,completed,java,sonnet,beads,0.3776328,197.08372069800134,628355.0,1.0
68,2,completed,clojure,sonnet,none,0.4291006500000001,247.01752909300012,369747.0,0.8333333333333334
69,2,completed,clojure,sonnet,beads,0.43715550000000003,211.15160749700044,618307.0,0.8333333333333334
70,2,completed,clojure,opus,none,0.64761325,187.59519009399992,540001.0,0.8333333333333334
72,2,completed,clojure,opus,beads,0.7251010000000001,186.82075266899847,601420.0,0.8333333333333334
