run_id,replicate,status,language,model,tooling,_cost_usd,_duration_seconds,_tokens,_turns,code_quality,defect_rate,idiomatic,maintainability,test_coverage,token_efficiency
1,1,completed,python,sonnet,none,0.7158078,328.88201376800134,879497.0,,0.6666666666666666,0.9052880820836622,0.77,0.5662004662004662,0.96,0.027652169364989307
3,1,completed,python,opus,none,0.7255997500000001,149.28589630200076,580884.0,16.0,0.6666666666666666,0.9644128113879004,0.79,0.46592099352156785,0.8,0.018798934038465512
4,1,completed,python,opus,beads,1.7258697499999998,348.7832363519992,1625376.0,44.0,0.6666666666666666,0.6802325581395349,0.68,0.6171392318233078,0.85,0.008293465635028448
5,1,completed,typescript,sonnet,beads,0.9246295499999999,361.8989301319998,1556688.0,43.0,0.7333333333333334,1.0,0.67,0.5778966807228157,0.0,1.0
6,1,completed,typescript,opus,none,1.0130405,187.52346417399895,919663.0,23.0,0.7333333333333334,1.0,0.38,0.5149504898538065,0.0,1.0
7,1,completed,python,sonnet,beads,1.2469279500000001,482.76138146499943,2113900.0,49.0,0.6666666666666666,0.8486281929990539,0.76,0.6137523413766508,0.97,0.009394957188135673
8,1,completed,rust,opus,none,0.8660215000000001,174.66953853800078,593895.0,16.0,0.8333333333333334,0.9758162031438936,0.78,0.49483490717138084,0.0,0.02717652110221504
9,1,completed,typescript,opus,beads,1.0674709999999998,204.78332309899997,1022265.0,27.0,0.7333333333333334,1.0,0.75,0.5068095167870567,0.0,1.0
10,1,completed,clojure,opus,none,0.80904525,178.23385336900174,630222.0,17.0,0.8333333333333334,1.0,0.78,0.7679495483121799,0.0,0.018660091205955995
12,1,completed,go,opus,none,1.3871597500000001,273.5446939090034,1098817.0,24.0,1.0,1.0,0.72,0.7007676653910577,0.423,0.01885664309889636
13,1,completed,typescript,sonnet,none,0.7091845499999998,274.4852746800025,797512.0,24.0,0.7333333333333334,1.0,0.68,0.5531276497347498,0.9605,1.0
14,1,completed,go,opus,beads,1.2266922500000002,268.72250457000337,683860.0,28.0,1.0,1.0,0.67,0.5459672567532606,0.33324999999999994,0.0442488228584798
15,1,completed,rust,opus,beads,1.5749187499999997,350.3147270110021,1108771.0,32.0,0.8333333333333334,0.9271137026239067,0.78,0.43883175813668446,0.0,0.0234854627330621
16,1,completed,go,sonnet,none,1.1781928,425.70404746400163,1540294.0,30.0,1.0,1.0,0.55,0.4718089093360243,0.769,0.021865955460451055
17,1,completed,rust,sonnet,none,1.14389055,471.0110405960004,209825.0,9.0,0.8333333333333334,0.9892588614393125,0.78,0.21928205128205125,0.0,0.1619444775408078
18,1,completed,rust,sonnet,beads,1.1086549,532.5035404339978,491969.0,17.0,0.8333333333333334,0.874037788663401,0.77,0.1826123138338707,0.0,0.055979136896837
19,1,completed,java,opus,none,1.256035,218.0492779870001,965345.0,24.0,1.0,1.0,0.48,0.7068135301615944,0.0,0.01624289761691416
20,1,completed,clojure,opus,beads,1.3911665,342.5264769259993,1391321.0,34.0,0.8333333333333334,1.0,0.78,0.7881149605724085,1.0,0.009171140232915338
21,1,completed,clojure,sonnet,beads,1.02884335,410.30929307800034,1811932.0,49.0,0.8333333333333334,1.0,0.65,0.7062141750041068,1.0,0.010773031217507058
22,1,completed,java,opus,beads,1.7525562500000005,340.6408734700017,1669932.0,39.0,1.0,1.0,0.58,0.689000322144809,0.0,0.011138178081502722
23,1,completed,clojure,sonnet,none,1.1248502999999999,436.5858163369994,1920625.0,45.0,0.8333333333333334,1.0,0.77,0.699944633910151,0.0,0.00878880572730231
24,1,completed,java,sonnet,beads,1.83553625,673.9992432500003,2779597.0,57.0,1.0,1.0,0.7,0.8048993452382242,0.0,0.013023470668589728
